StoreCode,AnnualSales,Sales,SFloorSize,TotalInvestment
1,750000,4411.765,170,44343.71
2,1926395,4280.878,450,44343.71
3,1250000,4166.667,300,364427.75
4,694227,2670.104,260,37207.04
5,750000,15000,50,32207.04
6,,,0,
7,1300000,3250,400,45066.89
8,495340,4953.4,100,45066.89
9,1200000,2666.667,450,297857.2
10,495340,6604.533,75,45066.89
11,911315,7594.292,120,44343.71
12,231000,5775,40,27207.04
13,492033,5467.033,90,78894.12
14,1500000,13636.36,110,72269.23
15,330000,8250,40,78894.12
16,,,0,
17,694227,7713.633,90,45066.89
18,245228,3503.257,70,25707.04
19,375000,3947.368,95,72207.04
20,330000,4714.286,70,45066.89
21,301133,2409.064,125,24207.04
22,976817,5745.982,170,20000
23,1500000,6000,250,364427.75
24,77369,1289.483,60,45066.89
25,471000,4957.895,95,45066.89
26,601000,3756.25,160,82269.23
27,976817,7235.682,135,27859.85
28,850000,15454.55,55,45066.89
29,495340,4503.091,110,40000
30,694227,5785.225,120,364427.75
31,156168,3470.4,45,45066.89
32,495340,4953.4,100,44343.71
33,1000000,7142.857,140,280000
34,694227,6311.155,110,10000
35,976817,6302.045,155,65269.23
36,156168,3123.36,50,27207.04
37,400000,1818.182,220,45066.89
38,179655,2530.352,71,6490
39,876000,6257.143,140,364427.75
40,301133,2316.408,130,52207.04
41,495340,11257.73,44,24207.04
42,301133,3764.163,80,44343.71
43,853000,7049.587,121,63469.23
44,976817,4884.085,200,6000
45,1894931,5573.327,340,7000
46,976817,6105.106,160,45066.89
47,694227,4958.764,140,25000
48,495340,4307.304,115,27207.04
49,694227,1735.568,400,245000
50,976817,10282.28,95,24624.89
51,976817,5141.142,190,27166.67
52,815000,5821.429,140,78894.12
53,495340,6604.533,75,78894.12
54,1718000,8590,200,32207.04
55,875000,14583.33,60,364427.75
56,790000,2633.333,300,78894.12
57,495340,3538.143,140,78894.12
58,1850000,12333.33,150,45066.89
59,549000,4575,120,41624.89
60,745000,2660.714,280,78894.12
61,694227,7713.633,90,5000
62,156168,3904.2,40,45066.89
63,976817,15027.95,65,27207.04
64,450000,5000,90,44343.71
65,156168,3904.2,40,24159.85
66,700000,5833.333,120,45066.89
67,498000,2490,200,65269.23
68,1421000,4736.667,300,44343.71
69,1600000,3200,500,800000
70,510000,3923.077,130,45066.89
71,694227,4628.18,150,44343.71
72,700000,3111.111,225,45066.89
73,694227,3305.843,210,44343.71
74,312107,2837.336,110,19416.67
75,301133,8603.8,35,45066.89
76,156168,1382.018,113,45066.89
77,301133,3764.163,80,45066.89
78,301133,3011.33,100,23207.04
79,301133,3345.922,90,23457.04
80,495340,3538.143,140,167166.67
81,1926395,5206.473,370,312857.2
82,1022300,10223,100,45066.89
83,1343500,19192.86,70,45066.89
84,1290500,18435.71,70,37207.04
85,550000,4583.333,120,44343.71
86,2053200,14665.71,140,33707.04
87,495340,12383.5,40,45066.89
88,680000,7083.333,96,23207.04
89,800000,9411.765,85,28177.04
90,235000,2350,100,45066.89
91,976817,4884.085,200,45066.89
92,400000,8000,50,44343.71
93,625000,6944.444,90,212859.85
94,777362,5182.414,150,45066.89
95,976817,4884.085,200,45066.89
96,301133,5018.883,60,45066.89
97,800000,8000,100,40000
98,495340,4953.4,100,27207.04
99,553809,6153.433,90,78894.12
100,976817,6977.264,140,19500
101,425000,2361.111,180,341624.89
102,495340,1981.36,250,78894.12
103,495340,4503.091,110,78894.12
104,301133,3764.163,80,45066.89
105,876845,5480.281,160,366624.89
106,420000,14000,30,78894.12
107,694227,5833.84,119,78894.12
108,156168,1952.1,80,15000
109,495340,8255.667,60,45066.89
110,694227,4338.919,160,110000
111,1033543,4306.429,240,44343.71
112,200005,2500.063,80,45066.89
113,1158200,8516.177,136,298657.2
114,393000,2079.365,189,78894.12
115,77369,4835.563,16,45066.89
116,156168,1952.1,80,25359.85
117,1926395,3210.658,600,76000
118,976817,9768.17,100,45066.89
119,694227,3305.843,210,32207.04
120,301133,3345.922,90,8250
121,687800,7642.222,90,63519.23
122,949840,2713.829,350,23407.04
123,694227,5553.816,125,76769.23
124,976817,2790.906,350,1800000
125,400000,2857.143,140,13000
126,495340,3002.061,165,5000
127,301133,2007.553,150,45066.89
128,3543400,9842.777,360,45066.89
129,495340,3538.143,140,24707.04
130,1283500,8556.667,150,45066.89
131,976817,5745.982,170,78894.12
132,767905,5485.036,140,77269.23
133,832000,4622.222,180,17766.67
134,495340,4953.4,100,233500
135,1300000,11304.35,115,45066.89
136,,,0,
137,976817,12210.21,80,22166.67
138,630000,4500,140,18966.67
139,694227,5340.208,130,67269.23
140,976817,5280.092,185,4000
141,1378586,7877.634,175,317857.2
142,145000,2900,50,45066.89
143,1943500,24293.75,80,166624.89
144,301133,6022.66,50,45066.89
145,1000000,5000,200,6000
146,775000,12916.67,60,45066.89
147,1223975,7649.844,160,68269.23
148,694227,4083.688,170,45066.89
149,976817,9768.17,100,7500
150,1350000,6192.661,218,64269.23
151,390000,5571.429,70,44343.71
152,535000,4458.333,120,28707.04
153,2500000,10416.67,240,45066.89
154,1926395,17512.68,110,52207.04
155,524000,6550,80,102207.04
156,729353,9116.912,80,78894.12
157,620000,2254.545,275,25666.67
158,1223000,11759.62,104,47207.04
159,625000,8333.333,75,27207.04
160,538055,4483.792,120,78894.12
161,250000,4545.455,55,45066.89
162,301133,9410.406,32,45066.89
163,77369,1487.865,52,45066.89
164,1378586,13785.86,100,44343.71
165,495340,6191.75,80,11000
166,333000,2081.25,160,31677.04
167,1378586,6892.93,200,78894.12
168,301133,2007.553,150,45066.89
169,340000,4250,80,23407.04
170,976817,5426.761,180,78894.12
171,1926395,7269.415,265,36624.89
172,1001500,3576.786,280,102207.04
173,301133,6022.66,50,45066.89
174,750000,3750,200,78894.12
175,694227,3085.453,225,78894.12
176,495340,4953.4,100,5000
177,750000,7500,100,45066.89
178,694227,5340.208,130,32207.04
179,750000,7653.061,98,45066.89
180,400000,3333.333,120,78894.12
181,1200000,6000,200,65000
182,694227,2169.459,320,18624.89
183,250000,2272.727,110,45066.89
